country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,reactor,uranium
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,524k active personnel,51 ships,Persian Gulf War surplus,19 factories,Standard,last online 4 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$23589 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,,
German Reich,Frederick III,,260k active personnel,54 ships,Advanced,16 factories,Good,online now,rankings.php?subregion=egy,,$25040 million,,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,44421 km 2,http://blocgame.com/stats.php?id=49204,1159 Mbbl,,
Mongolstan,Khan,http://blocgame.com/alliancestats.php?allianceid=1568,698k active personnel,84 ships,Advanced,40 factories,Elite,last online 2 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$24797 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,135519 km 2,http://blocgame.com/stats.php?id=47945,,,4 Tons
Kennethland,Kenneth,http://blocgame.com/alliancestats.php?allianceid=1568,456k active personnel,60 ships,Advanced,18 factories,Elite,last online 9 hours ago,rankings.php?subregion=gra,Brotherhood of Zion,$24114 million,alliancestats.php?allianceid=1568,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,74296 km 2,http://blocgame.com/stats.php?id=47662,,,
Whitey,Knee Grow,http://blocgame.com/alliancestats.php?allianceid=1568,339k active personnel,82 ships,Persian Gulf War surplus,15 factories,Elite,last online 14 hours ago,rankings.php?subregion=waf,Brotherhood of Zion,$23779 million,alliancestats.php?allianceid=1568,West Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,86699 km 2,http://blocgame.com/stats.php?id=4816,,15%,
Northmarch,Elroy,http://blocgame.com/alliancestats.php?allianceid=1568,285k active personnel,43 ships,Advanced,19 factories,Standard,last online 1 hours ago,rankings.php?subregion=car,Brotherhood of Zion,$23955 million,alliancestats.php?allianceid=1568,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43195 km 2,http://blocgame.com/stats.php?id=41629,,,3 Tons
HCLI,Kasper Hekmatyar,http://blocgame.com/alliancestats.php?allianceid=1393,293k active personnel,38 ships,Advanced,12 factories,Elite,last online 27 hours ago,rankings.php?subregion=chi,BAMF,$23714 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,27241 km 2,http://blocgame.com/stats.php?id=46030,,,
Shambala,Feranon,http://blocgame.com/alliancestats.php?allianceid=1580,259k active personnel,26 ships,Persian Gulf War surplus,12 factories,Elite,last online 3 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$22829 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,28432 km 2,http://blocgame.com/stats.php?id=41268,,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,519k active personnel,13 ships,Persian Gulf War surplus,23 factories,Good,last online 2 hours ago,rankings.php?subregion=chi,BAMF,$22029 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,,,
Cirno,jc99,http://blocgame.com/alliancestats.php?allianceid=1401,199k active personnel,52 ships,Persian Gulf War surplus,15 factories,Good,last online 7 hours ago,rankings.php?subregion=ind,The Federal Colonies,$21984 million,alliancestats.php?allianceid=1401,East Indies,,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,28182 km 2,http://blocgame.com/stats.php?id=43375,,,
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,239k active personnel,40 ships,Advanced,11 factories,Elite,last online 12 hours ago,rankings.php?subregion=mex,The Federal Colonies,$21867 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,,45%,
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,117k active personnel,45 ships,Almost Modern,8 factories,Good,last online 24 hours ago,rankings.php?subregion=car,The Federal Colonies,$21697 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,,,
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,273k active personnel,51 ships,Almost Modern,10 factories,Elite,last online 8 hours ago,rankings.php?subregion=ama,The High Council,$21297 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,,,1 Tons
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,440k active personnel,62 ships,Advanced,19 factories,Elite,last online 4 hours ago,rankings.php?subregion=ama,BAMF,$21056 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1835,1061k active personnel,71 ships,Advanced,22 factories,Elite,last online 1 hours ago,rankings.php?subregion=egy,SPQR,$20134 million,alliancestats.php?allianceid=1835,Egypt,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,76898 km 2,http://blocgame.com/stats.php?id=49868,,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,399k active personnel,51 ships,Advanced,17 factories,Good,last online 6 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$20887 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,8 factories,Elite,last online 13 hours ago,rankings.php?subregion=pac,The Federal Colonies,$20808 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,5%,
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Persian Gulf War surplus,18 factories,Good,last online 5 hours ago,rankings.php?subregion=chi,BAMF,$20786 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,,
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,299k active personnel,51 ships,Persian Gulf War surplus,16 factories,Standard,last online 4 hours ago,rankings.php?subregion=sub,BAMF,$19882 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792,,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,274k active personnel,51 ships,Advanced,14 factories,Good,last online 1 hours ago,rankings.php?subregion=pac,BAMF,$19670 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,299k active personnel,12 ships,Advanced,14 factories,Standard,online now,rankings.php?subregion=mes,Brotherhood of Nod,$19540 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,65193 km 2,http://blocgame.com/stats.php?id=56860,,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,14k active personnel,0 ships,Advanced,13 factories,Standard,last online 3 hours ago,rankings.php?subregion=car,The Federal Colonies,$19553 million,alliancestats.php?allianceid=1401,Caribbean,,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,499k active personnel,18 ships,Advanced,22 factories,Standard,last online 13 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$18960 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,,,1 Tons
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1595,287k active personnel,46 ships,Advanced,20 factories,Standard,last online 3 hours ago,rankings.php?subregion=waf,The High Council,$18174 million,alliancestats.php?allianceid=1595,West Africa,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=waf,106871 km 2,http://blocgame.com/stats.php?id=44479,,,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,299k active personnel,35 ships,Persian Gulf War surplus,19 factories,Good,last online 8 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$19050 million,alliancestats.php?allianceid=1580,Persia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,,,1 Tons
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,175k active personnel,31 ships,Persian Gulf War surplus,10 factories,Good,last online 13 hours ago,rankings.php?subregion=ama,BAMF,$19006 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,,
Fapman,Fapman,http://blocgame.com/alliancestats.php?allianceid=1393,217k active personnel,51 ships,Advanced,17 factories,Elite,last online 20 hours ago,rankings.php?subregion=ara,BAMF,$17786 million,alliancestats.php?allianceid=1393,Arabia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,93895 km 2,http://blocgame.com/stats.php?id=53748,7449 Mbbl,,
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,341k active personnel,55 ships,Advanced,15 factories,Undisciplined Rabble,last online 6 hours ago,rankings.php?subregion=per,Inter/pol/,$18467 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,87765 km 2,http://blocgame.com/stats.php?id=54220,,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,33 ships,Persian Gulf War surplus,11 factories,Good,last online 9 hours ago,rankings.php?subregion=mes,BAMF,$17855 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,24759 km 2,http://blocgame.com/stats.php?id=49652,,,
Argenwhite,Grecius,http://blocgame.com/alliancestats.php?allianceid=1580,238k active personnel,53 ships,Persian Gulf War surplus,10 factories,Elite,last online 4 hours ago,rankings.php?subregion=con,Brotherhood of Nod,$17692 million,alliancestats.php?allianceid=1580,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,53322 km 2,http://blocgame.com/stats.php?id=40579,,,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,109k active personnel,51 ships,Persian Gulf War surplus,11 factories,Elite,last online 8 hours ago,rankings.php?subregion=per,The Federal Colonies,$17446 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35604 km 2,http://blocgame.com/stats.php?id=48914,,,
Potatoland,ThePotatoGuy,http://blocgame.com/alliancestats.php?allianceid=1382,199k active personnel,39 ships,Almost Modern,10 factories,Elite,last online 13 hours ago,rankings.php?subregion=car,Non-Aligned Movement,$17327 million,alliancestats.php?allianceid=1382,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,45507 km 2,http://blocgame.com/stats.php?id=53696,,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,239k active personnel,63 ships,Persian Gulf War surplus,10 factories,Elite,online now,rankings.php?subregion=pac,BAMF,$17176 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,,,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,558k active personnel,76 ships,Advanced,15 factories,Elite,last online 4 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$16818 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,122025 km 2,http://blocgame.com/stats.php?id=52362,,,18 Tons
Al-Petralia,El-Oil,http://blocgame.com/alliancestats.php?allianceid=1393,148k active personnel,41 ships,Persian Gulf War surplus,9 factories,Elite,last online 14 hours ago,rankings.php?subregion=ara,BAMF,$17094 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,34559 km 2,http://blocgame.com/stats.php?id=52484,7320 Mbbl,,
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,198k active personnel,61 ships,Persian Gulf War surplus,13 factories,Standard,last online 12 hours ago,rankings.php?subregion=per,The Federal Colonies,$17072 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,37998 km 2,http://blocgame.com/stats.php?id=40311,1723 Mbbl,,
Skeenation,David Tomanka,http://blocgame.com/alliancestats.php?allianceid=1393,151k active personnel,54 ships,Persian Gulf War surplus,5 factories,Elite,last online 67 hours ago,rankings.php?subregion=con,BAMF,$16737 million,alliancestats.php?allianceid=1393,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,41581 km 2,http://blocgame.com/stats.php?id=40443,,,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,167k active personnel,31 ships,Almost Modern,11 factories,Elite,last online 8 hours ago,rankings.php?subregion=car,Wreckage brothers,$16640 million,alliancestats.php?allianceid=1599,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,55959 km 2,http://blocgame.com/stats.php?id=40242,,,
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,28 ships,Persian Gulf War surplus,13 factories,Standard,last online 22 hours ago,rankings.php?subregion=chi,BAMF,$16793 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,235 Mbbl,,
Kajima,Angelus,http://blocgame.com/alliancestats.php?allianceid=1580,278k active personnel,30 ships,Almost Modern,14 factories,Good,last online 7 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$16808 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48262 km 2,http://blocgame.com/stats.php?id=46908,,,
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,335k active personnel,52 ships,Persian Gulf War surplus,15 factories,Elite,online now,rankings.php?subregion=per,Brotherhood of Nod,$16683 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,63487 km 2,http://blocgame.com/stats.php?id=7511,,,
Tyrantia,Malakal,http://blocgame.com/alliancestats.php?allianceid=1595,470k active personnel,51 ships,Persian Gulf War surplus,15 factories,Standard,last online 2 hours ago,rankings.php?subregion=ind,The High Council,$15973 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,63676 km 2,http://blocgame.com/stats.php?id=40238,,,4 Tons
Greekrules,General Humphreys,http://blocgame.com/alliancestats.php?allianceid=1393,349k active personnel,51 ships,Advanced,17 factories,Good,last online 3 hours ago,rankings.php?subregion=ara,BAMF,$16189 million,alliancestats.php?allianceid=1393,Arabia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,85841 km 2,http://blocgame.com/stats.php?id=43351,3661 Mbbl,,
Vizio,linkbro,http://blocgame.com/alliancestats.php?allianceid=1393,219k active personnel,16 ships,Persian Gulf War surplus,8 factories,Good,last online 141 hours ago,rankings.php?subregion=ara,BAMF,$16169 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,44239 km 2,http://blocgame.com/stats.php?id=39037,1181 Mbbl,,
New-Rhodesia,Tito Van Ronnk,http://blocgame.com/alliancestats.php?allianceid=1644,190k active personnel,25 ships,Persian Gulf War surplus,8 factories,Elite,last online 10 hours ago,rankings.php?subregion=eaf,Inter/pol/,$16066 million,alliancestats.php?allianceid=1644,East Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=eaf,35402 km 2,http://blocgame.com/stats.php?id=49249,,,1 Tons
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,40 ships,Persian Gulf War surplus,6 factories,Good,last online 4 hours ago,rankings.php?subregion=atl,BAMF,$15578 million,alliancestats.php?allianceid=1393,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,30742 km 2,http://blocgame.com/stats.php?id=2570,7622 Mbbl,5%,
South Park,cartman,http://blocgame.com/alliancestats.php?allianceid=1835,279k active personnel,52 ships,Persian Gulf War surplus,10 factories,Elite,last online 8 hours ago,rankings.php?subregion=car,SPQR,$15324 million,alliancestats.php?allianceid=1835,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,51110 km 2,http://blocgame.com/stats.php?id=228,,,
bro dude,guy man,http://blocgame.com/alliancestats.php?allianceid=1568,238k active personnel,40 ships,Almost Modern,11 factories,Elite,last online 14 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$15440 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,56539 km 2,http://blocgame.com/stats.php?id=49465,,,
Krakozhia,Ilyich,http://blocgame.com/alliancestats.php?allianceid=1599,262k active personnel,29 ships,Persian Gulf War surplus,9 factories,Standard,online now,rankings.php?subregion=chi,Wreckage brothers,$15273 million,alliancestats.php?allianceid=1599,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,31809 km 2,http://blocgame.com/stats.php?id=39065,,,
See Aye Eh,BillWilson,http://blocgame.com/alliancestats.php?allianceid=1599,309k active personnel,66 ships,Advanced,14 factories,Elite,last online 6 hours ago,rankings.php?subregion=ara,Wreckage brothers,$15174 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,41039 km 2,http://blocgame.com/stats.php?id=52844,772 Mbbl,,
OnlyJuanOvue,BigGuyBane,http://blocgame.com/alliancestats.php?allianceid=1599,241k active personnel,49 ships,Persian Gulf War surplus,13 factories,Elite,last online 13 hours ago,rankings.php?subregion=ara,Wreckage brothers,$15376 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,68339 km 2,http://blocgame.com/stats.php?id=52889,1153 Mbbl,,
Puella-Magia,Emily,http://blocgame.com/alliancestats.php?allianceid=1580,214k active personnel,43 ships,Persian Gulf War surplus,12 factories,Poor,last online 3 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$14855 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,62446 km 2,http://blocgame.com/stats.php?id=35958,,,
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=1595,266k active personnel,34 ships,Persian Gulf War surplus,11 factories,Good,last online 11 hours ago,rankings.php?subregion=chi,The High Council,$15163 million,alliancestats.php?allianceid=1595,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,34576 km 2,http://blocgame.com/stats.php?id=44539,,40%,1 Tons
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,224k active personnel,28 ships,Persian Gulf War surplus,10 factories,Standard,last online 35 hours ago,rankings.php?subregion=pac,BAMF,$15123 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,,,
Scavia,nike1155,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,38 ships,Almost Modern,8 factories,Elite,last online 1 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$15101 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,37531 km 2,http://blocgame.com/stats.php?id=52275,,,
Pompeii,Lykos,http://blocgame.com/alliancestats.php?allianceid=1835,332k active personnel,4 ships,Advanced,10 factories,Good,last online 4 hours ago,rankings.php?subregion=per,SPQR,$15010 million,alliancestats.php?allianceid=1835,Persia,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=per,44412 km 2,http://blocgame.com/stats.php?id=39021,,,
Lalaland,Lalaland,http://blocgame.com/alliancestats.php?allianceid=1580,199k active personnel,35 ships,Persian Gulf War surplus,8 factories,Good,last online 203 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$14595 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,27955 km 2,http://blocgame.com/stats.php?id=40201,,,
Casa del Nolano,jnolat09,http://blocgame.com/alliancestats.php?allianceid=1599,158k active personnel,15 ships,Persian Gulf War surplus,5 factories,Standard,last online 10 hours ago,rankings.php?subregion=ind,Wreckage brothers,$14483 million,alliancestats.php?allianceid=1599,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,17783 km 2,http://blocgame.com/stats.php?id=45936,,,
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1644,193k active personnel,51 ships,Persian Gulf War surplus,10 factories,Elite,last online 29 hours ago,rankings.php?subregion=per,Inter/pol/,$14694 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,50924 km 2,http://blocgame.com/stats.php?id=49556,3379 Mbbl,,
Best Istan,Glorious Leader,http://blocgame.com/alliancestats.php?allianceid=1568,88k active personnel,1 ships,Almost Modern,3 factories,Good,last online 98 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$14489 million,alliancestats.php?allianceid=1568,China,Untapped,Large,http://blocgame.com/rankings.php?subregion=chi,10798 km 2,http://blocgame.com/stats.php?id=40577,,,
durkastan,ned kelly,http://blocgame.com/alliancestats.php?allianceid=1580,243k active personnel,69 ships,Persian Gulf War surplus,23 factories,Elite,last online 9 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,$14052 million,alliancestats.php?allianceid=1580,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,123989 km 2,http://blocgame.com/stats.php?id=40488,3064 Mbbl,,
