country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Olympia,Xasthur,http://blocgame.com/alliancestats.php?allianceid=1568,459k active personnel,77 ships,Advanced,Gandhi-like,21 factories,Elite,last online 16 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$32432 million,alliancestats.php?allianceid=1568,China,Untapped,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=chi,45891 km 2,http://blocgame.com/stats.php?id=51354,,
Minmaxia,Reanchi,http://blocgame.com/alliancestats.php?allianceid=1568,295k active personnel,51 ships,Advanced,Gandhi-like,27 factories,Standard,last online 28 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$32081 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,83200 km 2,http://blocgame.com/stats.php?id=40270,9670 Mbbl,
Africanistan,Jacques Strahp,http://blocgame.com/alliancestats.php?allianceid=1568,28k active personnel,43 ships,Almost Modern,Gandhi-like,12 factories,Good,last online 72 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$29640 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=congo,26537 km 2,http://blocgame.com/stats.php?id=40233,,
Morjei,FlairWoW,http://blocgame.com/alliancestats.php?allianceid=1568,160k active personnel,51 ships,Advanced,Gandhi-like,19 factories,Good,last online 6 hours ago,rankings.php?subregion=sea,Brotherhood of Zion,$29382 million,alliancestats.php?allianceid=1568,Indochina,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=sea,51408 km 2,http://blocgame.com/stats.php?id=53068,,
Cubania,General Fidelis,http://blocgame.com/alliancestats.php?allianceid=1393,150k active personnel,44 ships,Almost Modern,Gandhi-like,17 factories,Elite,last online 28 hours ago,rankings.php?subregion=mex,BAMF,$28934 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mex,40972 km 2,http://blocgame.com/stats.php?id=47349,,
Best Syria,Bashar Hafez al-Assad,http://blocgame.com/alliancestats.php?allianceid=1599,443k active personnel,92 ships,Advanced,Gandhi-like,19 factories,Good,last online 1 hours ago,rankings.php?subregion=mes,Wreckage brothers,$28374 million,alliancestats.php?allianceid=1599,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,103642 km 2,http://blocgame.com/stats.php?id=52852,,
Yulai,SupremeSoviet,http://blocgame.com/alliancestats.php?allianceid=1393,307k active personnel,63 ships,Advanced,Gandhi-like,24 factories,Good,online now,rankings.php?subregion=pac,BAMF,$28338 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,74906 km 2,http://blocgame.com/stats.php?id=53451,,5%
LOCAI,Agumentic,http://blocgame.com/alliancestats.php?allianceid=1393,160k active personnel,58 ships,Advanced,Gandhi-like,16 factories,Elite,last online 4 hours ago,rankings.php?subregion=saf,BAMF,$28011 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=saf,48021 km 2,http://blocgame.com/stats.php?id=53011,,
Zanzabarland,Taza,http://blocgame.com/alliancestats.php?allianceid=1835,350k active personnel,51 ships,Advanced,Gandhi-like,17 factories,Elite,last online 12 hours ago,rankings.php?subregion=per,SPQR,$27468 million,alliancestats.php?allianceid=1835,Persia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=per,53431 km 2,http://blocgame.com/stats.php?id=40078,2348 Mbbl,
Briggs,General Armstrong,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,11 ships,Advanced,Gandhi-like,17 factories,Elite,last online 8 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$27216 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,34230 km 2,http://blocgame.com/stats.php?id=53442,,
