country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Edtopia,Edgar,http://blocgame.com/alliancestats.php?allianceid=1401,269k active personnel,43 ships,Advanced,Gandhi-like,11 factories,Good,last online 24 hours ago,rankings.php?subregion=mex,The Federal Colonies,$22604 million,alliancestats.php?allianceid=1401,Mesoamerica,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mex,23265 km 2,http://blocgame.com/stats.php?id=249,184 Mbbl,45%
Karat,TankGun,http://blocgame.com/alliancestats.php?allianceid=1401,131k active personnel,45 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Standard,last online 6 hours ago,rankings.php?subregion=car,The Federal Colonies,$22562 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=car,23712 km 2,http://blocgame.com/stats.php?id=45853,,
pelle,pelle,http://blocgame.com/alliancestats.php?allianceid=1393,519k active personnel,13 ships,Persian Gulf War surplus,Gandhi-like,24 factories,Standard,online now,rankings.php?subregion=chi,BAMF,$22297 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,51183 km 2,http://blocgame.com/stats.php?id=52372,451 Mbbl,
JucheBox,Lunin,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,14 ships,Persian Gulf War surplus,Gandhi-like,19 factories,Standard,last online 33 hours ago,rankings.php?subregion=chi,BAMF,$21983 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,44497 km 2,http://blocgame.com/stats.php?id=56203,,
Falk,Seth,http://blocgame.com/alliancestats.php?allianceid=1401,100k active personnel,22 ships,Advanced,Gandhi-like,8 factories,Good,last online 7 hours ago,rankings.php?subregion=pac,The Federal Colonies,$21727 million,alliancestats.php?allianceid=1401,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,14662 km 2,http://blocgame.com/stats.php?id=43574,,5%
Mmhat,Homermustdie,http://blocgame.com/alliancestats.php?allianceid=1595,243k active personnel,51 ships,Almost Modern,Gandhi-like,10 factories,Elite,last online 27 hours ago,rankings.php?subregion=ama,The High Council,$21464 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=ama,29206 km 2,http://blocgame.com/stats.php?id=45846,,
Great Poverty,SamoGrrr,http://blocgame.com/alliancestats.php?allianceid=1568,399k active personnel,51 ships,Advanced,Gandhi-like,17 factories,Standard,last online 4 hours ago,rankings.php?subregion=congo,Brotherhood of Zion,$21033 million,alliancestats.php?allianceid=1568,Congo,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=congo,65491 km 2,http://blocgame.com/stats.php?id=52440,,
JaMon,amschind,http://blocgame.com/alliancestats.php?allianceid=1401,34k active personnel,0 ships,Advanced,Angelic,13 factories,Elite,last online 32 hours ago,rankings.php?subregion=car,The Federal Colonies,$20812 million,alliancestats.php?allianceid=1401,Caribbean,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=car,45065 km 2,http://blocgame.com/stats.php?id=44573,294 Mbbl,
FreakTopia,Remington Steel,http://blocgame.com/alliancestats.php?allianceid=1393,445k active personnel,63 ships,Advanced,Gandhi-like,19 factories,Elite,online now,rankings.php?subregion=ama,BAMF,$20686 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=ama,99560 km 2,http://blocgame.com/stats.php?id=45527,,
Gensokyo,DrKourin,http://blocgame.com/alliancestats.php?allianceid=1393,278k active personnel,51 ships,Advanced,Nice,14 factories,Elite,last online 2 hours ago,rankings.php?subregion=pac,BAMF,$20412 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,29481 km 2,http://blocgame.com/stats.php?id=5212,,
kocksmashistan,negerus prime,http://blocgame.com/alliancestats.php?allianceid=1393,304k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Good,last online 59 hours ago,rankings.php?subregion=sub,BAMF,$20391 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Powerful,,http://blocgame.com/rankings.php?subregion=sub,46508 km 2,http://blocgame.com/stats.php?id=49792,,
Lyranistan,Lyranistan,http://blocgame.com/alliancestats.php?allianceid=1580,299k active personnel,12 ships,Advanced,Gandhi-like,14 factories,Good,last online 1 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$20198 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,65193 km 2,http://blocgame.com/stats.php?id=56860,3095 Mbbl,
Canuckistan!!,Cosmic Canuck,http://blocgame.com/alliancestats.php?allianceid=1580,359k active personnel,35 ships,Persian Gulf War surplus,Gandhi-like,19 factories,Standard,last online 16 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$19917 million,alliancestats.php?allianceid=1580,Persia,Plentiful,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=per,103286 km 2,http://blocgame.com/stats.php?id=49526,712 Mbbl,
MoonMania,MoonMan,http://blocgame.com/alliancestats.php?allianceid=1393,185k active personnel,32 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Good,last online 17 hours ago,rankings.php?subregion=ama,BAMF,$19841 million,alliancestats.php?allianceid=1393,Amazonia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=ama,36253 km 2,http://blocgame.com/stats.php?id=53650,,
Skanonia,Beefy,http://blocgame.com/alliancestats.php?allianceid=1568,554k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,19 factories,Standard,last online 3 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$19308 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,28436 km 2,http://blocgame.com/stats.php?id=44384,,
Pooland,kurwa,http://blocgame.com/alliancestats.php?allianceid=1568,503k active personnel,18 ships,Advanced,Gandhi-like,23 factories,Elite,online now,rankings.php?subregion=atl,Brotherhood of Zion,$19507 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=atl,64773 km 2,http://blocgame.com/stats.php?id=49295,,
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,382k active personnel,55 ships,Advanced,Gandhi-like,15 factories,Good,last online 12 hours ago,rankings.php?subregion=per,Inter/pol/,$18765 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=per,87765 km 2,http://blocgame.com/stats.php?id=54220,3059 Mbbl,
Fapman,Fapman,http://blocgame.com/alliancestats.php?allianceid=1393,248k active personnel,52 ships,Advanced,Isolated,19 factories,Elite,last online 1 hours ago,rankings.php?subregion=ara,BAMF,$18705 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,4 Tons,http://blocgame.com/rankings.php?subregion=ara,94945 km 2,http://blocgame.com/stats.php?id=53748,,
Khuzestan,Georgy Zhukov,http://blocgame.com/alliancestats.php?allianceid=1401,114k active personnel,47 ships,Persian Gulf War surplus,Gandhi-like,12 factories,Elite,last online 6 hours ago,rankings.php?subregion=per,The Federal Colonies,$18487 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=per,35248 km 2,http://blocgame.com/stats.php?id=48914,375 Mbbl,
deepfriedbutter,kittenSmasher,http://blocgame.com/alliancestats.php?allianceid=1595,241k active personnel,48 ships,Advanced,Nice,20 factories,Poor,last online 1 hours ago,rankings.php?subregion=waf,The High Council,$18450 million,alliancestats.php?allianceid=1595,West Africa,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=waf,106871 km 2,http://blocgame.com/stats.php?id=44479,,
nation name,alysdexia,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,39 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 2 hours ago,rankings.php?subregion=mes,BAMF,$18379 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,24759 km 2,http://blocgame.com/stats.php?id=49652,1253 Mbbl,
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,198k active personnel,64 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Good,last online 6 hours ago,rankings.php?subregion=per,The Federal Colonies,$18076 million,alliancestats.php?allianceid=1401,Persia,Untapped,Very Powerful,2 Tons,http://blocgame.com/rankings.php?subregion=per,37998 km 2,http://blocgame.com/stats.php?id=40311,,
Argenwhite,Grecius,http://blocgame.com/alliancestats.php?allianceid=1580,238k active personnel,54 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 9 hours ago,rankings.php?subregion=con,Brotherhood of Nod,$17909 million,alliancestats.php?allianceid=1580,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,53322 km 2,http://blocgame.com/stats.php?id=40579,,
Al-Petralia,El-Oil,http://blocgame.com/alliancestats.php?allianceid=1393,148k active personnel,42 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Elite,last online 55 hours ago,rankings.php?subregion=ara,BAMF,$17934 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=ara,34559 km 2,http://blocgame.com/stats.php?id=52484,,
Kalayaan,Fernindad E. Marcos,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,64 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 2 hours ago,rankings.php?subregion=pac,BAMF,$17711 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,79555 km 2,http://blocgame.com/stats.php?id=52349,,
Arsinoe,Sobek,http://blocgame.com/alliancestats.php?allianceid=1835,858k active personnel,71 ships,Advanced,Gandhi-like,25 factories,Elite,last online 10 hours ago,rankings.php?subregion=egy,SPQR,$16612 million,alliancestats.php?allianceid=1835,Egypt,Near Depletion,Very Powerful,30 Tons,http://blocgame.com/rankings.php?subregion=egy,88377 km 2,http://blocgame.com/stats.php?id=49868,1711 Mbbl,
Kajima,Angelus,http://blocgame.com/alliancestats.php?allianceid=1580,278k active personnel,34 ships,Almost Modern,Gandhi-like,14 factories,Elite,last online 14 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$17569 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,48262 km 2,http://blocgame.com/stats.php?id=46908,,
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,258k active personnel,28 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Elite,last online 5 hours ago,rankings.php?subregion=chi,BAMF,$17565 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,,
Celtic Nations,BigWilly526,http://blocgame.com/alliancestats.php?allianceid=1580,345k active personnel,53 ships,Advanced,Gandhi-like,15 factories,Elite,last online 5 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$17220 million,alliancestats.php?allianceid=1580,Persia,Plentiful,Very Powerful,,http://blocgame.com/rankings.php?subregion=per,63843 km 2,http://blocgame.com/stats.php?id=7511,3091 Mbbl,
Biji Kurdistan,Myron2point0,http://blocgame.com/alliancestats.php?allianceid=1580,170k active personnel,44 ships,Persian Gulf War surplus,Normal,10 factories,Poor,last online 165 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$16662 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=mes,64978 km 2,http://blocgame.com/stats.php?id=52906,,
Skhimm,Ept2415,http://blocgame.com/alliancestats.php?allianceid=1580,586k active personnel,80 ships,Advanced,Angelic,15 factories,Good,last online 9 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$16586 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,16 Tons,http://blocgame.com/rankings.php?subregion=per,122469 km 2,http://blocgame.com/stats.php?id=52362,1466 Mbbl,
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,43 ships,Persian Gulf War surplus,Gandhi-like,6 factories,Good,last online 10 hours ago,rankings.php?subregion=atl,BAMF,$16335 million,alliancestats.php?allianceid=1393,Atlas,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=atl,30742 km 2,http://blocgame.com/stats.php?id=2570,,5%
OnlyJuanOvue,BigGuyBane,http://blocgame.com/alliancestats.php?allianceid=1599,241k active personnel,53 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Elite,last online 5 hours ago,rankings.php?subregion=ara,Wreckage brothers,$16205 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=ara,68339 km 2,http://blocgame.com/stats.php?id=52889,,
Greekrules,General Humphreys,http://blocgame.com/alliancestats.php?allianceid=1393,359k active personnel,51 ships,Advanced,Gandhi-like,17 factories,Elite,last online 10 hours ago,rankings.php?subregion=ara,BAMF,$16089 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=ara,85841 km 2,http://blocgame.com/stats.php?id=43351,,
bro dude,guy man,http://blocgame.com/alliancestats.php?allianceid=1568,258k active personnel,42 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Elite,last online 7 hours ago,rankings.php?subregion=atl,Brotherhood of Zion,$16034 million,alliancestats.php?allianceid=1568,Atlas,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=atl,56539 km 2,http://blocgame.com/stats.php?id=49465,3309 Mbbl,
Vizio,linkbro,http://blocgame.com/alliancestats.php?allianceid=1393,200k active personnel,16 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Good,last online 42 hours ago,rankings.php?subregion=ara,BAMF,$15690 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=ara,43797 km 2,http://blocgame.com/stats.php?id=39037,,
Scavia,nike1155,http://blocgame.com/alliancestats.php?allianceid=1568,178k active personnel,41 ships,Almost Modern,Gandhi-like,8 factories,Elite,last online 45 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$15705 million,alliancestats.php?allianceid=1568,Southern Cone,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=con,37531 km 2,http://blocgame.com/stats.php?id=52275,312 Mbbl,
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,232k active personnel,28 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Standard,last online 4 hours ago,rankings.php?subregion=pac,BAMF,$15665 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,,
South Park,cartman,http://blocgame.com/alliancestats.php?allianceid=1835,289k active personnel,44 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 2 hours ago,rankings.php?subregion=car,SPQR,$15482 million,alliancestats.php?allianceid=1835,Caribbean,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=car,51110 km 2,http://blocgame.com/stats.php?id=228,,
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1644,233k active personnel,53 ships,Persian Gulf War surplus,Gandhi-like,10 factories,Elite,last online 13 hours ago,rankings.php?subregion=per,Inter/pol/,$15502 million,alliancestats.php?allianceid=1644,Persia,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=per,50924 km 2,http://blocgame.com/stats.php?id=49556,,
New-Rhodesia,Tito Van Ronnk,http://blocgame.com/alliancestats.php?allianceid=1644,38k active personnel,25 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Good,last online 85 hours ago,rankings.php?subregion=eaf,Inter/pol/,$14701 million,alliancestats.php?allianceid=1644,East Africa,Plentiful,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=eaf,34352 km 2,http://blocgame.com/stats.php?id=49249,,
See Aye Eh,BillWilson,http://blocgame.com/alliancestats.php?allianceid=1599,318k active personnel,68 ships,Advanced,Gandhi-like,14 factories,Elite,last online 3 hours ago,rankings.php?subregion=ara,Wreckage brothers,$15326 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,1 Tons,http://blocgame.com/rankings.php?subregion=ara,41234 km 2,http://blocgame.com/stats.php?id=52844,,
Krakozhia,Ilyich,http://blocgame.com/alliancestats.php?allianceid=1599,259k active personnel,34 ships,Persian Gulf War surplus,Gandhi-like,9 factories,Standard,last online 1 hours ago,rankings.php?subregion=chi,Wreckage brothers,$15266 million,alliancestats.php?allianceid=1599,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,31809 km 2,http://blocgame.com/stats.php?id=39065,,
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,168k active personnel,31 ships,Almost Modern,Nice,11 factories,Good,last online 10 hours ago,rankings.php?subregion=car,Wreckage brothers,$15162 million,alliancestats.php?allianceid=1599,Caribbean,Near Depletion,Very Powerful,,http://blocgame.com/rankings.php?subregion=car,53756 km 2,http://blocgame.com/stats.php?id=40242,,
Kardazar,Mahmud Ali,http://blocgame.com/alliancestats.php?allianceid=1393,259k active personnel,20 ships,Persian Gulf War surplus,Gandhi-like,14 factories,Standard,last online 5 hours ago,rankings.php?subregion=ara,BAMF,$15208 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,2 Tons,http://blocgame.com/rankings.php?subregion=ara,32670 km 2,http://blocgame.com/stats.php?id=55305,3190 Mbbl,
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=1595,250k active personnel,34 ships,Persian Gulf War surplus,Gandhi-like,11 factories,Good,last online 15 hours ago,rankings.php?subregion=chi,The High Council,$15072 million,alliancestats.php?allianceid=1595,China,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,34576 km 2,http://blocgame.com/stats.php?id=44539,,35%
Almania,Almanich,http://blocgame.com/alliancestats.php?allianceid=1580,287k active personnel,50 ships,Persian Gulf War surplus,Normal,17 factories,Standard,online now,rankings.php?subregion=chi,Brotherhood of Nod,$15119 million,alliancestats.php?allianceid=1580,China,Plentiful,Very Powerful,,http://blocgame.com/rankings.php?subregion=chi,37527 km 2,http://blocgame.com/stats.php?id=51725,,
Casa del Nolano,jnolat09,http://blocgame.com/alliancestats.php?allianceid=1599,158k active personnel,15 ships,Persian Gulf War surplus,Gandhi-like,5 factories,Standard,last online 28 hours ago,rankings.php?subregion=ind,Wreckage brothers,$14777 million,alliancestats.php?allianceid=1599,East Indies,Untapped,Very Powerful,,http://blocgame.com/rankings.php?subregion=ind,17783 km 2,http://blocgame.com/stats.php?id=45936,,
Best Istan,Glorious Leader,http://blocgame.com/alliancestats.php?allianceid=1568,50k active personnel,1 ships,Almost Modern,Normal,3 factories,Good,last online 151 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$14718 million,alliancestats.php?allianceid=1568,China,Untapped,Large,,http://blocgame.com/rankings.php?subregion=chi,10798 km 2,http://blocgame.com/stats.php?id=40577,,
Bourbon Island,Gypsy Danger,http://blocgame.com/alliancestats.php?allianceid=1568,256k active personnel,9 ships,Persian Gulf War surplus,Gandhi-like,8 factories,Elite,last online 20 hours ago,rankings.php?subregion=egy,Brotherhood of Zion,$14568 million,alliancestats.php?allianceid=1568,Egypt,,Very Powerful,,http://blocgame.com/rankings.php?subregion=egy,34351 km 2,http://blocgame.com/stats.php?id=41247,2526 Mbbl,
