aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
59k active personnel,Olympia,Brotherhood of Zion,3k active personnel,,Brunstovia,http://blocgame.com/news.php?page=1
25k active personnel,Rogue Nation,,3k active personnel,,heide,http://blocgame.com/news.php?page=1
33k active personnel,Raja Udang,PIRATES,9k active personnel,,Harvest Moon,http://blocgame.com/news.php?page=1
39k active personnel,Classia,Brotherhood of Zion,14k active personnel,,Aminichina,http://blocgame.com/news.php?page=1
27k active personnel,New Luzon,The Order,9k active personnel,,Tripolitana,http://blocgame.com/news.php?page=1
57k active personnel,Myhouse,The United Nations,17k active personnel,The Order,Gran Corrupci�n,http://blocgame.com/news.php?page=1
50k active personnel,Tanah Malaya,PIRATES,2k active personnel,,Nueva Asia,http://blocgame.com/news.php?page=1
50k active personnel,lordmason22,Brotherhood of Zion,33k active personnel,The Delian League,Nigiria,http://blocgame.com/news.php?page=1
30k active personnel,Rudenia,Brotherhood of Zion,33k active personnel,SPQR,Lixia,http://blocgame.com/news.php?page=1
28k active personnel,Chinese Empire,The High Council,7k active personnel,,Minjo,http://blocgame.com/news.php?page=1
125k active personnel,Acirassi,The Order,15k active personnel,Brotherhood of Nod,Birdland,http://blocgame.com/news.php?page=1
38k active personnel,Genowia,The High Council,2k active personnel,,Cartenesia,http://blocgame.com/news.php?page=1
46k active personnel,Nhayat,The Order,65k active personnel,Brotherhood of Zion,Zuyazayuza,http://blocgame.com/news.php?page=1
45k active personnel,TheDarkSide,The Federal Colonies,10k active personnel,PIRATES,Endau,http://blocgame.com/news.php?page=1
30k active personnel,Neechanville,,2k active personnel,,N'vear,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
17k active personnel,Asiana,The High Council,3k active personnel,Farmington Brigade,Senglia,http://blocgame.com/news.php?page=2
22k active personnel,British Egypt,Brotherhood of Nod,9k active personnel,,jibblejabble,http://blocgame.com/news.php?page=2
22k active personnel,East Takistan,,14k active personnel,,House Tyrell,http://blocgame.com/news.php?page=2
