aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
41k active personnel,Lolesco,The Order,3k active personnel,,Nandos Banter,http://blocgame.com/news.php?page=1
58k active personnel,Vanan,The Order,2k active personnel,,Aratana Kibo,http://blocgame.com/news.php?page=1
59k active personnel,Lombardy,The Order,2k active personnel,,Surakistahn,http://blocgame.com/news.php?page=1
18k active personnel,ratdotabestdota,,18k active personnel,,Farm001,http://blocgame.com/news.php?page=1
73k active personnel,Tyrantia,The High Council,27k active personnel,The Order,Hitlerwasright,http://blocgame.com/news.php?page=1
72k active personnel,Arabic Union,Brotherhood of Zion,8k active personnel,Brotherhood of Nod,NationalFreedom,http://blocgame.com/news.php?page=1
30k active personnel,Clownaland,Brotherhood of Zion,10k active personnel,The Order,Haukinaria,http://blocgame.com/news.php?page=1
38k active personnel,Kennethland,The Order,2k active personnel,,Kelvenia,http://blocgame.com/news.php?page=1
35k active personnel,Eralidor,,15k active personnel,,edonia,http://blocgame.com/news.php?page=1
39k active personnel,RadYugoslavija,The High Council,11k active personnel,Farmington Brigade,Willacoochiepop,http://blocgame.com/news.php?page=1
27k active personnel,Hitlerwasright,The Order,8k active personnel,The High Council,Wick,http://blocgame.com/news.php?page=1
27k active personnel,Baden,The High Council,14k active personnel,,Royal Malaya,http://blocgame.com/news.php?page=1
31k active personnel,Last Horn,The Khilafah,9k active personnel,,Shraith,http://blocgame.com/news.php?page=1
49k active personnel,Daphnestan,The High Council,1k active personnel,,MayMay,http://blocgame.com/news.php?page=1
38k active personnel,Nova Ikaki,Brotherhood of Nod,6k active personnel,,Ballz,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
39k active personnel,Spaolia,The Federal Colonies,9k active personnel,The Federal Colonies,Belac,http://blocgame.com/news.php?page=2
38k active personnel,Psiloybia,Brotherhood of Zion,4k active personnel,,zioland,http://blocgame.com/news.php?page=2
57k active personnel,MyKingdom,PIRATES,1k active personnel,,Hidin,http://blocgame.com/news.php?page=2
66k active personnel,Bourbon Island,Brotherhood of Zion,12k active personnel,,Pathos,http://blocgame.com/news.php?page=2
53k active personnel,Razgriskm,Divine League,8k active personnel,,Fludena,http://blocgame.com/news.php?page=2
34k active personnel,Pink,The Order,15k active personnel,,Mesa,http://blocgame.com/news.php?page=2
55k active personnel,south nation,PIRATES,10k active personnel,,Kulunkjin,http://blocgame.com/news.php?page=2
35k active personnel,Henessee,,20k active personnel,,�zilistan,http://blocgame.com/news.php?page=2
52k active personnel,Losong,PIRATES,1k active personnel,,The UCOA,http://blocgame.com/news.php?page=2
31k active personnel,Chinese Empire,The High Council,8k active personnel,,m4cm4ni4c,http://blocgame.com/news.php?page=2
70k active personnel,sandakania,Brotherhood of Zion,69k active personnel,The Federal Colonies,TheDarkSide,http://blocgame.com/news.php?page=2
53k active personnel,Zama Regia,The Order,3k active personnel,,SomaliFarmers,http://blocgame.com/news.php?page=2
44k active personnel,Hells Angel,The Order,19k active personnel,,SAMSON,http://blocgame.com/news.php?page=2
37k active personnel,Chrome,The High Council,14k active personnel,The United Nations,Alamo,http://blocgame.com/news.php?page=2
33k active personnel,Olut,Al-Qassam Brigades,7k active personnel,,Draverish,http://blocgame.com/news.php?page=2
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=3
45k active personnel,Jam,Brotherhood of Nod,3k active personnel,,kuci,http://blocgame.com/news.php?page=3
29k active personnel,ENdau 2,PIRATES,9k active personnel,,Slopika,http://blocgame.com/news.php?page=3
71k active personnel,Iwo Jima,The Order,9k active personnel,,bird land,http://blocgame.com/news.php?page=3
34k active personnel,Eastasia,The United Nations,2k active personnel,,Derpkins,http://blocgame.com/news.php?page=3
34k active personnel,Kotasinga,The Order,9k active personnel,,schekels,http://blocgame.com/news.php?page=3
59k active personnel,HiredGun,The Order,8k active personnel,,jibblejabble,http://blocgame.com/news.php?page=3
65k active personnel,sandshark,The Order,35k active personnel,Che Guevara League,Aryana,http://blocgame.com/news.php?page=3
26k active personnel,Mirah,,2k active personnel,,MalayaMMP,http://blocgame.com/news.php?page=3
88k active personnel,Avarice,Brotherhood of Nod,15k active personnel,The High Council,The Sound,http://blocgame.com/news.php?page=3
40k active personnel,Langgarpura,The Order,2k active personnel,,Puncak Alam,http://blocgame.com/news.php?page=3
26k active personnel,bukitbendera98,The Order,27k active personnel,,Slavistan,http://blocgame.com/news.php?page=3
42k active personnel,Borgasha,The Order,3k active personnel,,Hephaestus,http://blocgame.com/news.php?page=3
52k active personnel,johoreansouth,PIRATES,39k active personnel,The United Nations,Romiia,http://blocgame.com/news.php?page=3
35k active personnel,eQna8,The Order,11k active personnel,,Chagondowidi,http://blocgame.com/news.php?page=3
70k active personnel,Chongministan,The Order,18k active personnel,,Based World,http://blocgame.com/news.php?page=3
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=4
37k active personnel,Ekodebota,The High Council,0k active personnel,Comintern,Emerzonland,http://blocgame.com/news.php?page=4
56k active personnel,Yazu,Brotherhood of Zion,11k active personnel,,Oilpotamia,http://blocgame.com/news.php?page=4
16k active personnel,Spartang,Pirates of Carribean,5k active personnel,,Crowania,http://blocgame.com/news.php?page=4
47k active personnel,Melengkar Alam,The High Council,30k active personnel,Comintern,Eurassia,http://blocgame.com/news.php?page=4
54k active personnel,Ghost Shark,PIRATES,19k active personnel,The Federal Colonies,Kapitan,http://blocgame.com/news.php?page=4
35k active personnel,Aryana,Che Guevara League,21k active personnel,The Order,Casopia,http://blocgame.com/news.php?page=4
69k active personnel,TheDarkSide,The Federal Colonies,51k active personnel,PIRATES,Carpentaria,http://blocgame.com/news.php?page=4
26k active personnel,Dominon,Brotherhood of Zion,2k active personnel,,National_East,http://blocgame.com/news.php?page=4
48k active personnel,Praetoria Augusta,SPQR,4k active personnel,Brotherhood of Nod,Bite,http://blocgame.com/news.php?page=4
25k active personnel,Minmaxia,Brotherhood of Zion,44k active personnel,The High Council,Bruce Man,http://blocgame.com/news.php?page=4
40k active personnel,Safavid Persia,The Order,23k active personnel,Al-Qassam Brigades,Parsistan,http://blocgame.com/news.php?page=4
23k active personnel,bro dude,Brotherhood of Zion,44k active personnel,The High Council,Utopiastan,http://blocgame.com/news.php?page=4
25k active personnel,Empyrea,The Order,27k active personnel,,Jurestist,http://blocgame.com/news.php?page=4
52k active personnel,Raja Udang,PIRATES,11k active personnel,,Cempaka,http://blocgame.com/news.php?page=4
51k active personnel,Large Man,Al-Qassam Brigades,6k active personnel,Brotherhood of Nod,Northern Ghan,http://blocgame.com/news.php?page=4
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=5
74k active personnel,Darkstone,The High Council,93k active personnel,PIRATES,Tandak,http://blocgame.com/news.php?page=5
33k active personnel,Prometheus,Brotherhood of Zion,40k active personnel,420 Empire,Eleuthera,http://blocgame.com/news.php?page=5
17k active personnel,Manturia-Korea,,7k active personnel,,Reformed Korea,http://blocgame.com/news.php?page=5
26k active personnel,Hansetica,The Order,30k active personnel,Interpol,Junovia,http://blocgame.com/news.php?page=5
18k active personnel,Andes,Divine League,3k active personnel,,Reborn Prussia,http://blocgame.com/news.php?page=5
26k active personnel,United Pacific,Comintern,2k active personnel,,Bielmasa,http://blocgame.com/news.php?page=5
48k active personnel,Ballzinga,The Order,4k active personnel,The Order,Shell,http://blocgame.com/news.php?page=5
34k active personnel,Ghost,The Order,1k active personnel,,the Arabs,http://blocgame.com/news.php?page=5
37k active personnel,oliverhard,The High Council,28k active personnel,,Farsland,http://blocgame.com/news.php?page=5
58k active personnel,Olympia,Brotherhood of Zion,44k active personnel,,Fongelesia,http://blocgame.com/news.php?page=5
54k active personnel,Black Widow,The Order,2k active personnel,ISIS,Rebel Scum,http://blocgame.com/news.php?page=5
