aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
31k active personnel,Oteco,Che Guevara League,10k active personnel,The Order,Sordidia,http://blocgame.com/news.php?page=1
43k active personnel,Syphirious,Interpol,5k active personnel,PIRATES,harimau kl,http://blocgame.com/news.php?page=1
50k active personnel,WUBstep,Brotherhood of Nod,2k active personnel,,reggie le edgy,http://blocgame.com/news.php?page=1
34k active personnel,Kritch,Brotherhood of Nod,10k active personnel,The High Council,Newsoka,http://blocgame.com/news.php?page=1
61k active personnel,Darkstone,The High Council,17k active personnel,Divine League,Magical Horses,http://blocgame.com/news.php?page=1
78k active personnel,Avarice,The Federal Colonies,2k active personnel,,Eureka,http://blocgame.com/news.php?page=1
36k active personnel,Kgkerambit,The Order,8k active personnel,,Gaipo,http://blocgame.com/news.php?page=1
53k active personnel,Borneon,PIRATES,11k active personnel,,Snort,http://blocgame.com/news.php?page=1
31k active personnel,ileristanistan,The Order,13k active personnel,,Lojafanistan,http://blocgame.com/news.php?page=1
59k active personnel,Olympia,Brotherhood of Zion,3k active personnel,,Brunstovia,http://blocgame.com/news.php?page=1
25k active personnel,Rogue Nation,,3k active personnel,,heide,http://blocgame.com/news.php?page=1
37k active personnel,Raja Udang,PIRATES,1k active personnel,,Harvest Moon,http://blocgame.com/news.php?page=1
39k active personnel,Classia,Brotherhood of Zion,8k active personnel,,Aminichina,http://blocgame.com/news.php?page=1
27k active personnel,New Luzon,The Order,2k active personnel,,Tripolitana,http://blocgame.com/news.php?page=1
57k active personnel,Myhouse,The United Nations,8k active personnel,The Order,Gran Corrupci�n,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
57k active personnel,Myhouse,The United Nations,8k active personnel,The Order,Gran Corrupci�n,http://blocgame.com/news.php?page=2
50k active personnel,lordmason22,Brotherhood of Zion,33k active personnel,The Delian League,Nigiria,http://blocgame.com/news.php?page=2
30k active personnel,Rudenia,Brotherhood of Zion,33k active personnel,SPQR,Lixia,http://blocgame.com/news.php?page=2
28k active personnel,Chinese Empire,The High Council,7k active personnel,,Minjo,http://blocgame.com/news.php?page=2
115k active personnel,Acirassi,The Order,4k active personnel,Brotherhood of Nod,Birdland,http://blocgame.com/news.php?page=2
38k active personnel,Genowia,The High Council,2k active personnel,,Cartenesia,http://blocgame.com/news.php?page=2
46k active personnel,Nhayat,The Order,65k active personnel,Brotherhood of Zion,Zuyazayuza,http://blocgame.com/news.php?page=2
45k active personnel,TheDarkSide,The Federal Colonies,4k active personnel,PIRATES,Endau,http://blocgame.com/news.php?page=2
30k active personnel,Neechanville,,2k active personnel,,N'vear,http://blocgame.com/news.php?page=2
