aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
49k active personnel,Zinlandia,Che Guevara League,12k active personnel,Interpol,The Hegemony,http://blocgame.com/news.php?page=1
60k active personnel,San Palomino,The Order,6k active personnel,PIRATES,Meviora,http://blocgame.com/news.php?page=1
51k active personnel,Smyrno,The Order,5k active personnel,The Khilafah,Sumchakastan,http://blocgame.com/news.php?page=1
53k active personnel,Syphirious,Interpol,4k active personnel,Brotherhood of Nod,Mesopotamiaa,http://blocgame.com/news.php?page=1
26k active personnel,Dominon,Brotherhood of Zion,2k active personnel,,Technocratia,http://blocgame.com/news.php?page=1
18k active personnel,nerfprotoss,,18k active personnel,,galapagos1,http://blocgame.com/news.php?page=1
18k active personnel,galapagos1,,18k active personnel,,weebsunite,http://blocgame.com/news.php?page=1
18k active personnel,weebsunite,,18k active personnel,,charlesxavier,http://blocgame.com/news.php?page=1
35k active personnel,La Federacion,,9k active personnel,,Portersburgh,http://blocgame.com/news.php?page=1
4k active personnel,Thair,Brotherhood of Zion,39k active personnel,The Order,BongoBongoBongo,http://blocgame.com/news.php?page=1
31k active personnel,Last Horn,The Khilafah,46k active personnel,,Black Money,http://blocgame.com/news.php?page=1
18k active personnel,charlesxavier,,18k active personnel,,wildestislands,http://blocgame.com/news.php?page=1
18k active personnel,wildestislands,,18k active personnel,,hatchblock,http://blocgame.com/news.php?page=1
35k active personnel,Dragon Stone,Interpol,4k active personnel,,BaniMelayu,http://blocgame.com/news.php?page=1
18k active personnel,hatchblock,,18k active personnel,,balancedgame,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
35k active personnel,Potatopia,Brotherhood of Zion,8k active personnel,,Poz Loads,http://blocgame.com/news.php?page=2
18k active personnel,balancedgame,,18k active personnel,,osfrog,http://blocgame.com/news.php?page=2
18k active personnel,basetrade,,18k active personnel,,icenation,http://blocgame.com/news.php?page=2
22k active personnel,Qaramur,Divine League,4k active personnel,,Funistan,http://blocgame.com/news.php?page=2
65k active personnel,Nueva Pilipinas,The High Council,7k active personnel,,Minjoistan,http://blocgame.com/news.php?page=2
78k active personnel,Adrianopolis,Brotherhood of Zion,45k active personnel,The High Council,Nuketown,http://blocgame.com/news.php?page=2
89k active personnel,Derse Moon,The Order,26k active personnel,African Union,Afrikizonia,http://blocgame.com/news.php?page=2
58k active personnel,whitmanistan,The Order,3k active personnel,Brotherhood of Nod,Skirr,http://blocgame.com/news.php?page=2
38k active personnel,Swagvila,Divine League,9k active personnel,,Retardia,http://blocgame.com/news.php?page=2
37k active personnel,Giant Mechs,The High Council,7k active personnel,ISIS,pooperheds,http://blocgame.com/news.php?page=2
42k active personnel,Liszonia,,9k active personnel,,MAROSTONIA,http://blocgame.com/news.php?page=2
45k active personnel,New Wadowice,The Order,30k active personnel,,Unspecifistan,http://blocgame.com/news.php?page=2
10k active personnel,Endau,PIRATES,55k active personnel,The Federal Colonies,TheDarkSide,http://blocgame.com/news.php?page=2
15k active personnel,Batu putih,The Federal Colonies,55k active personnel,SPQR,Platypus Island,http://blocgame.com/news.php?page=2
53k active personnel,Llorxye,PIRATES,2k active personnel,,Satan kingdom,http://blocgame.com/news.php?page=2
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=3
47k active personnel,Bruce Man,The High Council,3k active personnel,,VDV,http://blocgame.com/news.php?page=3
95k active personnel,Avarice,Brotherhood of Nod,20k active personnel,Brotherhood of Zion,Kikkomen,http://blocgame.com/news.php?page=3
18k active personnel,Psychotropia,Brotherhood of Zion,23k active personnel,,ZESI,http://blocgame.com/news.php?page=3
61k active personnel,gong badang,PIRATES,10k active personnel,,Conrad,http://blocgame.com/news.php?page=3
22k active personnel,Blackpearl,,12k active personnel,,KKinabalu,http://blocgame.com/news.php?page=3
55k active personnel,The NLR,Divine League,59k active personnel,,FuchukFakhu,http://blocgame.com/news.php?page=3
60k active personnel,Utea,The Order,31k active personnel,Followers of Guadian,Guadianstan,http://blocgame.com/news.php?page=3
42k active personnel,HARDGAY♂,The Order,10k active personnel,,Sea13,http://blocgame.com/news.php?page=3
58k active personnel,Morjei,Brotherhood of Zion,2k active personnel,,Yar,http://blocgame.com/news.php?page=3
10k active personnel,Conrad,,1k active personnel,,Mont Blanc,http://blocgame.com/news.php?page=3
18k active personnel,osfrog,,18k active personnel,,basetrade,http://blocgame.com/news.php?page=3
18k active personnel,icenation,,18k active personnel,,theonehundred,http://blocgame.com/news.php?page=3
18k active personnel,theonehundred,,18k active personnel,,sixpool,http://blocgame.com/news.php?page=3
36k active personnel,Bamboon,,17k active personnel,,GWNP,http://blocgame.com/news.php?page=3
