aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
38k active personnel,Ekodebota,The High Council,11k active personnel,Comintern,Emerzonland,http://blocgame.com/news.php?page=1
48k active personnel,Elderwood,Divine League,1k active personnel,,Angel,http://blocgame.com/news.php?page=1
62k active personnel,WUBstep,Brotherhood of Nod,3k active personnel,,Cappadocia,http://blocgame.com/news.php?page=1
56k active personnel,Yazu,Brotherhood of Zion,9k active personnel,,Oilpotamia,http://blocgame.com/news.php?page=1
18k active personnel,Spartang,Pirates of Carribean,13k active personnel,,Crowania,http://blocgame.com/news.php?page=1
49k active personnel,Melengkar Alam,The High Council,42k active personnel,Comintern,Eurassia,http://blocgame.com/news.php?page=1
54k active personnel,Ghost Shark,PIRATES,20k active personnel,The Federal Colonies,Kapitan,http://blocgame.com/news.php?page=1
38k active personnel,Aryana,Che Guevara League,16k active personnel,The Order,Casopia,http://blocgame.com/news.php?page=1
35k active personnel,TheDarkSide,The Federal Colonies,54k active personnel,PIRATES,Carpentaria,http://blocgame.com/news.php?page=1
26k active personnel,Dominon,Brotherhood of Zion,9k active personnel,,National_East,http://blocgame.com/news.php?page=1
33k active personnel,Lovecraft,PIRATES,2k active personnel,,Kazushima,http://blocgame.com/news.php?page=1
48k active personnel,Praetoria Augusta,SPQR,10k active personnel,Brotherhood of Nod,Bite,http://blocgame.com/news.php?page=1
35k active personnel,Minmaxia,Brotherhood of Zion,36k active personnel,The High Council,Bruce Man,http://blocgame.com/news.php?page=1
39k active personnel,The Abarat,The Khilafah,4k active personnel,,Ashraff,http://blocgame.com/news.php?page=1
40k active personnel,Safavid Persia,The Order,25k active personnel,Al-Qassam Brigades,Parsistan,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
30k active personnel,bro dude,Brotherhood of Zion,44k active personnel,The High Council,Utopiastan,http://blocgame.com/news.php?page=2
25k active personnel,Empyrea,The Order,27k active personnel,,Jurestist,http://blocgame.com/news.php?page=2
82k active personnel,Savannah,The United Nations,25k active personnel,The High Council,Zen killer,http://blocgame.com/news.php?page=2
33k active personnel,Brutish Empire,Comintern,13k active personnel,,Tendong,http://blocgame.com/news.php?page=2
52k active personnel,Raja Udang,PIRATES,16k active personnel,,Cempaka,http://blocgame.com/news.php?page=2
7k active personnel,Carthya,,17k active personnel,,Wankmuffin,http://blocgame.com/news.php?page=2
44k active personnel,Crimea,The United Nations,41k active personnel,,New Wadowice,http://blocgame.com/news.php?page=2
51k active personnel,Large Man,Al-Qassam Brigades,15k active personnel,Brotherhood of Nod,Northern Ghan,http://blocgame.com/news.php?page=2
81k active personnel,Darkstone,The High Council,59k active personnel,PIRATES,Tandak,http://blocgame.com/news.php?page=2
31k active personnel,Cuckoldery,The Order,8k active personnel,,Petrovistan,http://blocgame.com/news.php?page=2
64k active personnel,Prometheus,Brotherhood of Zion,40k active personnel,420 Empire,Eleuthera,http://blocgame.com/news.php?page=2
17k active personnel,Manturia-Korea,,15k active personnel,,Reformed Korea,http://blocgame.com/news.php?page=2
33k active personnel,pelle,The Order,3k active personnel,,raja_png,http://blocgame.com/news.php?page=2
26k active personnel,Hansetica,The Order,30k active personnel,Interpol,Junovia,http://blocgame.com/news.php?page=2
18k active personnel,Andes,Divine League,10k active personnel,,Reborn Prussia,http://blocgame.com/news.php?page=2
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=3
24k active personnel,United Pacific,Comintern,9k active personnel,,Bielmasa,http://blocgame.com/news.php?page=3
46k active personnel,Ballzinga,The Order,14k active personnel,The Order,Shell,http://blocgame.com/news.php?page=3
52k active personnel,British Egypt,Brotherhood of Nod,3k active personnel,,Ilumina,http://blocgame.com/news.php?page=3
34k active personnel,Ghost,The Order,1k active personnel,,the Arabs,http://blocgame.com/news.php?page=3
46k active personnel,oliverhard,The High Council,50k active personnel,,Farsland,http://blocgame.com/news.php?page=3
58k active personnel,Olympia,Brotherhood of Zion,50k active personnel,,Fongelesia,http://blocgame.com/news.php?page=3
54k active personnel,Black Widow,The Order,7k active personnel,ISIS,Rebel Scum,http://blocgame.com/news.php?page=3
55k active personnel,Baghdad Iraqi,The High Council,6k active personnel,PIRATES,District21,http://blocgame.com/news.php?page=3
40k active personnel,Subcarpathia,Divine League,21k active personnel,Al-Qassam Brigades,Hezstallah,http://blocgame.com/news.php?page=3
41k active personnel,durkastan,The Order,8k active personnel,,Alor Janggus,http://blocgame.com/news.php?page=3
61k active personnel,Krasnyyikistan,Comintern,22k active personnel,Brotherhood of Zion,Conwolves,http://blocgame.com/news.php?page=3
37k active personnel,Southern Africa,The Order,3k active personnel,,Great Poverty,http://blocgame.com/news.php?page=3
47k active personnel,HARDGAY♂,The Order,19k active personnel,,Gorgoroth,http://blocgame.com/news.php?page=3
43k active personnel,Benus Prime,SPQR,2k active personnel,,Rogainia,http://blocgame.com/news.php?page=3
59k active personnel,Nuketown,The High Council,30k active personnel,Brotherhood of Zion,bro dude,http://blocgame.com/news.php?page=3
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=4
38k active personnel,the murloc,Followers of Guadian,2k active personnel,PIRATES,Addin-territory,http://blocgame.com/news.php?page=4
59k active personnel,Reim,The High Council,4k active personnel,Brotherhood of Nod,kobisbunga,http://blocgame.com/news.php?page=4
41k active personnel,Sannari,SPQR,19k active personnel,,Minjoistan,http://blocgame.com/news.php?page=4
10k active personnel,Panzer,The Order,10k active personnel,,Empire of China,http://blocgame.com/news.php?page=4
73k active personnel,Tamil Kingdom,Brotherhood of Zion,4k active personnel,,SemutHitam,http://blocgame.com/news.php?page=4
9k active personnel,Skirr,Brotherhood of Nod,78k active personnel,The High Council,Tyrantia,http://blocgame.com/news.php?page=4
41k active personnel,Reikland,The High Council,1k active personnel,,Koflayyae,http://blocgame.com/news.php?page=4
21k active personnel,Belac,,11k active personnel,,Nuevo Norte,http://blocgame.com/news.php?page=4
51k active personnel,Asiana,The High Council,1k active personnel,,KakMahPower,http://blocgame.com/news.php?page=4
18k active personnel,Golden Woods,,18k active personnel,,Lothl�rien,http://blocgame.com/news.php?page=4
5k active personnel,Wernston,Illuminati,29k active personnel,,Sana,http://blocgame.com/news.php?page=4
31k active personnel,Ahkazra,The Order,9k active personnel,,Booyakasha,http://blocgame.com/news.php?page=4
36k active personnel,Ketroyla,The Order,8k active personnel,,Calraidia,http://blocgame.com/news.php?page=4
