aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
68k active personnel,SettingMoon,Farmington Brigade,51k active personnel,SPQR,Platypus Island,http://blocgame.com/news.php?page=1
32k active personnel,Geli Kurd,Brotherhood of Zion,10k active personnel,,Valuien,http://blocgame.com/news.php?page=1
54k active personnel,The NLR,Divine League,7k active personnel,,Great Poverty,http://blocgame.com/news.php?page=1
44k active personnel,blanco,The Order,8k active personnel,,Zest,http://blocgame.com/news.php?page=1
32k active personnel,British Egypt,Brotherhood of Nod,3k active personnel,,Fludena,http://blocgame.com/news.php?page=1
0k active personnel,Cholastan,,0k active personnel,,balemu1987,http://blocgame.com/news.php?page=1
41k active personnel,Raja Udang,PIRATES,23k active personnel,,Bayu,http://blocgame.com/news.php?page=1
27k active personnel,Tropic� Haven,,17k active personnel,,dane,http://blocgame.com/news.php?page=1
38k active personnel,Conwolves,Brotherhood of Zion,3k active personnel,SPQR,Honesty,http://blocgame.com/news.php?page=1
36k active personnel,Mingland,Brotherhood of Zion,22k active personnel,Lithuanian Coalition,S�l,http://blocgame.com/news.php?page=1
50k active personnel,Wafflonia,SPQR,18k active personnel,The Khilafah,Hajoki,http://blocgame.com/news.php?page=1
49k active personnel,Infebiousness,Interpol,4k active personnel,,Lyreme,http://blocgame.com/news.php?page=1
25k active personnel,Iraqghanistan,The Khilafah,43k active personnel,,Lobos,http://blocgame.com/news.php?page=1
40k active personnel,Ronia,,6k active personnel,,Aroucia,http://blocgame.com/news.php?page=1
78k active personnel,Avarice,The Federal Colonies,6k active personnel,,Danzig,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
39k active personnel,Lemonstan,Brotherhood of Nod,4k active personnel,SPQR,UNIland,http://blocgame.com/news.php?page=2
89k active personnel,Acirassi,The Order,18k active personnel,Comintern,Puella-Magia,http://blocgame.com/news.php?page=2
42k active personnel,Cuckoldery,The Order,2k active personnel,,Jerunco,http://blocgame.com/news.php?page=2
18k active personnel,Puella-Magia,Comintern,48k active personnel,The Order,Lingoria,http://blocgame.com/news.php?page=2
28k active personnel,DFWEFWEF,Interpol,26k active personnel,,Infernistan,http://blocgame.com/news.php?page=2
39k active personnel,Biji Kurdistan,Comintern,12k active personnel,,Leche,http://blocgame.com/news.php?page=2
53k active personnel,Syphirious,Interpol,30k active personnel,PIRATES,harimau kl,http://blocgame.com/news.php?page=2
33k active personnel,Gobi,Brotherhood of Zion,2k active personnel,The Order,Sheena,http://blocgame.com/news.php?page=2
35k active personnel,Deagle Nation!,Brotherhood of Nod,58k active personnel,,dingoland,http://blocgame.com/news.php?page=2
43k active personnel,Zen killer,The High Council,4k active personnel,,MalayaMMP,http://blocgame.com/news.php?page=2
26k active personnel,Kotasinga,The Order,7k active personnel,,Aratana Kibo,http://blocgame.com/news.php?page=2
32k active personnel,Rome Reloaded,SPQR,3k active personnel,,Surakistahn,http://blocgame.com/news.php?page=2
67k active personnel,Darkstone,The High Council,23k active personnel,,Conrad,http://blocgame.com/news.php?page=2
39k active personnel,BIOR KELANTOK,The High Council,13k active personnel,,Tuaran,http://blocgame.com/news.php?page=2
49k active personnel,Lombardy,The Order,9k active personnel,The High Council,Latveria,http://blocgame.com/news.php?page=2
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=3
53k active personnel,HiredGun,The Order,34k active personnel,,Unspecifistan,http://blocgame.com/news.php?page=3
28k active personnel,Bruce Man,The High Council,3k active personnel,,Greekrules,http://blocgame.com/news.php?page=3
