aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
46k active personnel,Almania,Brotherhood of Nod,3k active personnel,Farmington Brigade,Senglia,http://blocgame.com/news.php?page=1
65k active personnel,Nueva Pilipinas,The High Council,2k active personnel,,Holy Marcus,http://blocgame.com/news.php?page=1
122k active personnel,Acirassi,The Order,14k active personnel,Comintern,Eurassia,http://blocgame.com/news.php?page=1
38k active personnel,MalayaRaya,PIRATES,5k active personnel,,icenation,http://blocgame.com/news.php?page=1
39k active personnel,Baden,The High Council,2k active personnel,,Satan kingdom,http://blocgame.com/news.php?page=1
41k active personnel,Sri Mersing,PIRATES,12k active personnel,,Dutch East Ind.,http://blocgame.com/news.php?page=1
57k active personnel,Olut,Al-Qassam Brigades,12k active personnel,,MAROSTONIA,http://blocgame.com/news.php?page=1
58k active personnel,Borgasha,The Order,2k active personnel,,Markoviakia,http://blocgame.com/news.php?page=1
57k active personnel,HARDGAY♂,The Order,11k active personnel,,MalayaMMP,http://blocgame.com/news.php?page=1
80k active personnel,FreakTopia,The Order,5k active personnel,,Funistan,http://blocgame.com/news.php?page=1
57k active personnel,Large Man,The High Council,3k active personnel,PIRATES,SAMSON,http://blocgame.com/news.php?page=1
38k active personnel,Azhdahagate,Brotherhood of Nod,2k active personnel,,Jem,http://blocgame.com/news.php?page=1
57k active personnel,Whitey,Brotherhood of Nod,12k active personnel,,Liszonia,http://blocgame.com/news.php?page=1
74k active personnel,Markovia,The Federal Colonies,40k active personnel,The United Nations,Walletia,http://blocgame.com/news.php?page=1
69k active personnel,Lorigan,The High Council,44k active personnel,Che Guevara League,Aryana,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
19k active personnel,Endau,PIRATES,30k active personnel,,jongos,http://blocgame.com/news.php?page=2
58k active personnel,Wafflonia,SPQR,2k active personnel,Brotherhood of Nod,Subcon,http://blocgame.com/news.php?page=2
35k active personnel,Picanninia,,5k active personnel,,MAMI,http://blocgame.com/news.php?page=2
50k active personnel,johoreansouth,PIRATES,10k active personnel,The United Nations,Transmekong,http://blocgame.com/news.php?page=2
63k active personnel,District21,PIRATES,33k active personnel,The Federal Colonies,Sarnath,http://blocgame.com/news.php?page=2
44k active personnel,Yugoslothia,Brotherhood of Nod,27k active personnel,,Kachan,http://blocgame.com/news.php?page=2
72k active personnel,Dirk-Dirkastan,The Order,5k active personnel,Che Guevara League,Rufa,http://blocgame.com/news.php?page=2
81k active personnel,Krasnyyikistan,Comintern,42k active personnel,The Order,ADAMLAND,http://blocgame.com/news.php?page=2
69k active personnel,Manturia-Korea,,1k active personnel,,Fantastica,http://blocgame.com/news.php?page=2
44k active personnel,Idaho,The Order,22k active personnel,,Tuaran,http://blocgame.com/news.php?page=2
96k active personnel,carefree,The Order,2k active personnel,,Yar,http://blocgame.com/news.php?page=2
79k active personnel,Crayola,The Order,14k active personnel,,schekels,http://blocgame.com/news.php?page=2
40k active personnel,Vierte Reich,The High Council,18k active personnel,,Dromund Kaas,http://blocgame.com/news.php?page=2
166k active personnel,Tamil Kingdom,The Order,183k active personnel,SPQR,Platypus Island,http://blocgame.com/news.php?page=2
56k active personnel,Infebiousness,Interpol,3k active personnel,,Elos,http://blocgame.com/news.php?page=2
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=3
54k active personnel,Bernie_Sanders,The Order,24k active personnel,,Coltarin,http://blocgame.com/news.php?page=3
37k active personnel,Junoma,Steel Brotherhood,12k active personnel,Lithuanian Coalition,rio de la plata,http://blocgame.com/news.php?page=3
20k active personnel,Black Money,,59k active personnel,The United Nations,Kateriae,http://blocgame.com/news.php?page=3
50k active personnel,AtlasCorp,Brotherhood of Nod,13k active personnel,Lithuanian Coalition,Lewd Place,http://blocgame.com/news.php?page=3
43k active personnel,Zorin,The High Council,53k active personnel,The United Nations,kodiang,http://blocgame.com/news.php?page=3
50k active personnel,British Egypt,Brotherhood of Nod,41k active personnel,The High Council,FlySoGood,http://blocgame.com/news.php?page=3
34k active personnel,Haaga,The Federal Colonies,13k active personnel,Comintern,Tropic� Haven,http://blocgame.com/news.php?page=3
24k active personnel,Ebry�,The Order,4k active personnel,,Civitopia,http://blocgame.com/news.php?page=3
76k active personnel,CTSKRR,The High Council,62k active personnel,Comintern,Femtonesia,http://blocgame.com/news.php?page=3
30k active personnel,oreoxmonster,The High Council,4k active personnel,,Reasonalis,http://blocgame.com/news.php?page=3
70k active personnel,Zeon Alliance,The High Council,1k active personnel,,axmbest,http://blocgame.com/news.php?page=3
99k active personnel,Memiaya,Che Guevara League,59k active personnel,The Order,Ceannesburg,http://blocgame.com/news.php?page=3
19k active personnel,Mocha,,15k active personnel,,South Oswar,http://blocgame.com/news.php?page=3
48k active personnel,sandshark,The Order,42k active personnel,The Order,Gandoria,http://blocgame.com/news.php?page=3
59k active personnel,Asiana,The High Council,42k active personnel,Illuminati,Nimei,http://blocgame.com/news.php?page=3
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=4
37k active personnel,Disnomica,The High Council,3k active personnel,,Abingdon,http://blocgame.com/news.php?page=4
39k active personnel,Messer,The Order,1k active personnel,,Vader,http://blocgame.com/news.php?page=4
10k active personnel,Caballos,The United Nations,42k active personnel,The Order,Emberica,http://blocgame.com/news.php?page=4
51k active personnel,Poundtown,Brotherhood of Nod,38k active personnel,SPQR,Italica,http://blocgame.com/news.php?page=4
92k active personnel,Skhimm,Brotherhood of Nod,56k active personnel,The High Council,One Star,http://blocgame.com/news.php?page=4
17k active personnel,white shadow,The High Council,57k active personnel,,Weeabo Island,http://blocgame.com/news.php?page=4
98k active personnel,Avarice,Brotherhood of Nod,90k active personnel,The United Nations,M�rg,http://blocgame.com/news.php?page=4
58k active personnel,shair,Al-Qassam Brigades,19k active personnel,Brotherhood of Nod,kobisbunga,http://blocgame.com/news.php?page=4
30k active personnel,Cuttlefish,Interpol,50k active personnel,,FORECASTLE,http://blocgame.com/news.php?page=4
39k active personnel,Neechanville,The United Nations,31k active personnel,The Order,Lyon,http://blocgame.com/news.php?page=4
51k active personnel,Subcarpathia,Divine League,11k active personnel,Al-Qassam Brigades,Hezstallah,http://blocgame.com/news.php?page=4
25k active personnel,DZ Djeich,Al-Qassam Brigades,39k active personnel,The Order,kweensnkans,http://blocgame.com/news.php?page=4
47k active personnel,Last Horn,The Khilafah,15k active personnel,,Cyberland,http://blocgame.com/news.php?page=4
76k active personnel,Niggerito,SPQR,9k active personnel,The Khilafah,West Pacific,http://blocgame.com/news.php?page=4
98k active personnel,Ladina,Che Guevara League,56k active personnel,The High Council,Prometheus,http://blocgame.com/news.php?page=4
