aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
22k active personnel,Belac,,12k active personnel,,Nuevo Norte,http://blocgame.com/news.php?page=1
31k active personnel,Justice,Brotherhood of Nod,2k active personnel,,Mao Zedong,http://blocgame.com/news.php?page=1
55k active personnel,Asiana,The High Council,18k active personnel,,KakMahPower,http://blocgame.com/news.php?page=1
18k active personnel,Golden Woods,,18k active personnel,,Lothl�rien,http://blocgame.com/news.php?page=1
19k active personnel,Wernston,Illuminati,29k active personnel,,Sana,http://blocgame.com/news.php?page=1
57k active personnel,Alanies,The Order,3k active personnel,,hollywoodundead,http://blocgame.com/news.php?page=1
31k active personnel,Ahkazra,The Order,9k active personnel,,Booyakasha,http://blocgame.com/news.php?page=1
42k active personnel,Addin-territory,PIRATES,26k active personnel,Followers of Guadian,Guadianstan,http://blocgame.com/news.php?page=1
34k active personnel,Ketroyla,The Order,14k active personnel,,Calraidia,http://blocgame.com/news.php?page=1
19k active personnel,Eleuthera,420 Empire,7k active personnel,,FSOMA,http://blocgame.com/news.php?page=1
38k active personnel,Kgkerambit,The Order,11k active personnel,,Bongo Kongo,http://blocgame.com/news.php?page=1
59k active personnel,Nameck,Interpol,2k active personnel,,Muscovy,http://blocgame.com/news.php?page=1
42k active personnel,Johor,The Khilafah,48k active personnel,Farmington Brigade,\\\'Nam,http://blocgame.com/news.php?page=1
89k active personnel,Avarice,Brotherhood of Nod,4k active personnel,The High Council,awanghitam,http://blocgame.com/news.php?page=1
52k active personnel,Nhayat,The Order,44k active personnel,The Order,Newport High,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
100k active personnel,Borneon,PIRATES,73k active personnel,Brotherhood of Zion,Zuyazayuza,http://blocgame.com/news.php?page=2
91k active personnel,Yummy Foods,Interpol,1k active personnel,,Zalkanir,http://blocgame.com/news.php?page=2
20k active personnel,johoreansouth,PIRATES,2k active personnel,,SAMAN TERORISM,http://blocgame.com/news.php?page=2
42k active personnel,KelabuAsap,The High Council,6k active personnel,f,fishboyland,http://blocgame.com/news.php?page=2
31k active personnel,Last Horn,The Khilafah,9k active personnel,,Cromwell,http://blocgame.com/news.php?page=2
123k active personnel,admiral haz,,4k active personnel,,Bunga Malaya,http://blocgame.com/news.php?page=2
68k active personnel,Novi Sad,The High Council,30k active personnel,PIRATES,Pembunuh,http://blocgame.com/news.php?page=2
44k active personnel,ZY Kingdoms,The Order,8k active personnel,SPQR,Jurhiel,http://blocgame.com/news.php?page=2
32k active personnel,Idaho,The Order,15k active personnel,,Sawsasonstan,http://blocgame.com/news.php?page=2
114k active personnel,Acirassi,The Order,10k active personnel,The Order,Fapman,http://blocgame.com/news.php?page=2
66k active personnel,Parit Sayang,,7k active personnel,,portarthur,http://blocgame.com/news.php?page=2
34k active personnel,Lyranistan,Brotherhood of Nod,21k active personnel,The Order,Sandniggeristan,http://blocgame.com/news.php?page=2
39k active personnel,Ivalice,Interpol,3k active personnel,,kinabalu,http://blocgame.com/news.php?page=2
56k active personnel,TerapBuduLipis,The High Council,4k active personnel,Illuminati,Nimei,http://blocgame.com/news.php?page=2
36k active personnel,Persona-Grata,PIRATES,33k active personnel,Brotherhood of Nod,Parameswara,http://blocgame.com/news.php?page=2
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=3
18k active personnel,Spartang,Pirates of Carribean,4k active personnel,,Lamerique,http://blocgame.com/news.php?page=3
60k active personnel,Veganism,,10k active personnel,,GhostNation,http://blocgame.com/news.php?page=3
38k active personnel,Newsoka,The High Council,2k active personnel,Farmington Brigade,Senglia,http://blocgame.com/news.php?page=3
18k active personnel,Thinkpad,The Order,3k active personnel,,Grelden,http://blocgame.com/news.php?page=3
47k active personnel,Kekistonia,The Order,10k active personnel,,lordmason22,http://blocgame.com/news.php?page=3
73k active personnel,Zuyazayuza,Brotherhood of Zion,5k active personnel,The United Nations,Neechanville,http://blocgame.com/news.php?page=3
3k active personnel,Pathos,,59k active personnel,Brotherhood of Zion,Whitey,http://blocgame.com/news.php?page=3
73k active personnel,Valtania,,48k active personnel,Brotherhood of Zion,Prometheus,http://blocgame.com/news.php?page=3
48k active personnel,Skekenhouse,Brotherhood of Nod,41k active personnel,The Order,saiya,http://blocgame.com/news.php?page=3
35k active personnel,TheDarkSide,The Federal Colonies,35k active personnel,Brotherhood of Nod,Greatest Ally,http://blocgame.com/news.php?page=3
60k active personnel,Ultios,The Order,37k active personnel,PIRATES,Titiwangsa,http://blocgame.com/news.php?page=3
35k active personnel,Rararaland,The Order,8k active personnel,,Darkplace,http://blocgame.com/news.php?page=3
37k active personnel,shair,Al-Qassam Brigades,5k active personnel,,Dissapointment,http://blocgame.com/news.php?page=3
28k active personnel,white shadow,The High Council,5k active personnel,,Waradistan,http://blocgame.com/news.php?page=3
42k active personnel,Reikland,The High Council,4k active personnel,,Free Persia,http://blocgame.com/news.php?page=3
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=4
28k active personnel,Blackwater Inc,PIRATES,6k active personnel,,Asear,http://blocgame.com/news.php?page=4
18k active personnel,Zorin,The High Council,50k active personnel,PIRATES,Raja Udang,http://blocgame.com/news.php?page=4
53k active personnel,Briggs,Brotherhood of Zion,0k active personnel,,The Marintinia,http://blocgame.com/news.php?page=4
35k active personnel,nanas,The High Council,5k active personnel,,Red Crazyguy,http://blocgame.com/news.php?page=4
15k active personnel,Sulon Grande,Brotherhood of Nod,46k active personnel,The Order,New Luzon,http://blocgame.com/news.php?page=4
17k active personnel,Manturia-Korea,,5k active personnel,,Casterly Rock,http://blocgame.com/news.php?page=4
16k active personnel,East Takistan,The United Nations,5k active personnel,,Seychelles,http://blocgame.com/news.php?page=4
18k active personnel,Lothl�rien,,15k active personnel,,Bastwo,http://blocgame.com/news.php?page=4
38k active personnel,Karat,The Federal Colonies,20k active personnel,,morelia,http://blocgame.com/news.php?page=4
35k active personnel,Freedom Treaty,The United Nations,18k active personnel,,Rogue Nation,http://blocgame.com/news.php?page=4
39k active personnel,the Haunted,Brotherhood of Zion,4k active personnel,,ZumbaZumbi,http://blocgame.com/news.php?page=4
5k active personnel,Red Crazyguy,,36k active personnel,The Order,Viktoria,http://blocgame.com/news.php?page=4
24k active personnel,Psiloybia,Brotherhood of Zion,28k active personnel,,Mocha,http://blocgame.com/news.php?page=4
41k active personnel,saiya,The Order,2k active personnel,Brotherhood of Nod,SAUDI OPEC,http://blocgame.com/news.php?page=4
58k active personnel,Kosan,The High Council,3k active personnel,Brotherhood of Nod,Skirr,http://blocgame.com/news.php?page=4
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=5
67k active personnel,epf,The Federal Colonies,3k active personnel,,JIDF,http://blocgame.com/news.php?page=5
56k active personnel,Dess,The Order,35k active personnel,,Japanesia,http://blocgame.com/news.php?page=5
38k active personnel,Djengling,Followers of Guadian,52k active personnel,The Federal Colonies,Falamata,http://blocgame.com/news.php?page=5
49k active personnel,Azhdahagate,Brotherhood of Nod,50k active personnel,PIRATES,Tanah Malaya,http://blocgame.com/news.php?page=5
