aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
20k active personnel,East Takistan,The United Nations,12k active personnel,,Seychelles,http://blocgame.com/news.php?page=1
18k active personnel,Lothl�rien,,19k active personnel,,Bastwo,http://blocgame.com/news.php?page=1
43k active personnel,Infebiousness,Interpol,7k active personnel,,RibatejoGrande,http://blocgame.com/news.php?page=1
55k active personnel,south nation,PIRATES,2k active personnel,,Jeoson Korea,http://blocgame.com/news.php?page=1
38k active personnel,Addin-territory,PIRATES,2k active personnel,,Eco,http://blocgame.com/news.php?page=1
78k active personnel,siput sedut,The High Council,7k active personnel,,Lite,http://blocgame.com/news.php?page=1
49k active personnel,Octobia,The Federal Colonies,5k active personnel,Illuminati,House Tyrell,http://blocgame.com/news.php?page=1
33k active personnel,Olut,Al-Qassam Brigades,6k active personnel,,Aprus,http://blocgame.com/news.php?page=1
49k active personnel,Karat,The Federal Colonies,20k active personnel,,morelia,http://blocgame.com/news.php?page=1
35k active personnel,Freedom Treaty,The United Nations,31k active personnel,,Rogue Nation,http://blocgame.com/news.php?page=1
39k active personnel,Lorigan,The High Council,3k active personnel,Che Guevara League,Olivera,http://blocgame.com/news.php?page=1
35k active personnel,the Haunted,Brotherhood of Zion,24k active personnel,,ZumbaZumbi,http://blocgame.com/news.php?page=1
31k active personnel,Ahkazra,The Order,10k active personnel,,BrAsIlSoBeRaNo,http://blocgame.com/news.php?page=1
41k active personnel,Jam,Brotherhood of Nod,3k active personnel,The Order,natangape,http://blocgame.com/news.php?page=1
84k active personnel,Kritch,Brotherhood of Nod,11k active personnel,The United Nations,Leinad,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
18k active personnel,Red Crazyguy,,18k active personnel,The Order,Viktoria,http://blocgame.com/news.php?page=2
38k active personnel,Chrome,The High Council,2k active personnel,,VDV,http://blocgame.com/news.php?page=2
49k active personnel,Malaysia.,PIRATES,3k active personnel,,fotamorgana,http://blocgame.com/news.php?page=2
22k active personnel,Psiloybia,,29k active personnel,,Mocha,http://blocgame.com/news.php?page=2
33k active personnel,saiya,,18k active personnel,Brotherhood of Nod,SAUDI OPEC,http://blocgame.com/news.php?page=2
58k active personnel,Kosan,The High Council,17k active personnel,Brotherhood of Nod,Skirr,http://blocgame.com/news.php?page=2
60k active personnel,Mangkok,The High Council,3k active personnel,,P00P,http://blocgame.com/news.php?page=2
59k active personnel,epf,The Federal Colonies,12k active personnel,The Order,JIDF,http://blocgame.com/news.php?page=2
35k active personnel,Psychotropia,Brotherhood of Zion,4k active personnel,,Selitia,http://blocgame.com/news.php?page=2
60k active personnel,Tamil Kingdom,Brotherhood of Zion,1k active personnel,,Genocidia,http://blocgame.com/news.php?page=2
35k active personnel,Supercell,The Federal Colonies,4k active personnel,,Satan kingdom,http://blocgame.com/news.php?page=2
44k active personnel,whitmanistan,The Order,2k active personnel,TheAccountantRevenge,Parsadox,http://blocgame.com/news.php?page=2
64k active personnel,Jemut,PIRATES,48k active personnel,Farmington Brigade,SettingMoon,http://blocgame.com/news.php?page=2
58k active personnel,Dess,The Order,30k active personnel,,Japanesia,http://blocgame.com/news.php?page=2
24k active personnel,Djengling,Followers of Guadian,22k active personnel,The Federal Colonies,Falamata,http://blocgame.com/news.php?page=2
