aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
73k active personnel,Prometheus,Brotherhood of Zion,8k active personnel,,Angel,http://blocgame.com/news.php?page=1
105k active personnel,Acirassi,The Order,14k active personnel,The Federal Colonies,Sarnath,http://blocgame.com/news.php?page=1
54k active personnel,East Nubia,The Order,10k active personnel,,Elos,http://blocgame.com/news.php?page=1
50k active personnel,Ghost Shark,PIRATES,53k active personnel,Brotherhood of Nod,Jam,http://blocgame.com/news.php?page=1
62k active personnel,Sqynet,Brotherhood of Zion,53k active personnel,Brotherhood of Zion,New Caucasus,http://blocgame.com/news.php?page=1
55k active personnel,Gobi,Brotherhood of Zion,27k active personnel,The Order,Sheena,http://blocgame.com/news.php?page=1
63k active personnel,Chistriania,The United Nations,49k active personnel,,Veganism,http://blocgame.com/news.php?page=1
29k active personnel,Zanyslavia,The Khilafah,4k active personnel,,Americastan,http://blocgame.com/news.php?page=1
44k active personnel,Langgarpura,The Order,19k active personnel,,Tiny Island,http://blocgame.com/news.php?page=1
39k active personnel,Aaronafeltz,Che Guevara League,2k active personnel,,MTNRGuania,http://blocgame.com/news.php?page=1
52k active personnel,Shekel Land,The Order,9k active personnel,,Liszonia,http://blocgame.com/news.php?page=1
55k active personnel,south nation,PIRATES,25k active personnel,,Tuaran,http://blocgame.com/news.php?page=1
61k active personnel,Serbija,Lithuanian Coalition,27k active personnel,PIRATES,Qastury,http://blocgame.com/news.php?page=1
45k active personnel,Supercell,The Federal Colonies,10k active personnel,,temasik,http://blocgame.com/news.php?page=1
52k active personnel,Kondominium,Lithuanian Coalition,12k active personnel,,Fuhrer,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
66k active personnel,Wielkopl,Che Guevara League,2k active personnel,,Mestsdgd,http://blocgame.com/news.php?page=2
49k active personnel,Veganism,,0k active personnel,The Order,Casopia,http://blocgame.com/news.php?page=2
102k active personnel,siput sedut,The High Council,5k active personnel,,FORECASTLE,http://blocgame.com/news.php?page=2
55k active personnel,Falamata,The Federal Colonies,13k active personnel,,Terra Predonum,http://blocgame.com/news.php?page=2
39k active personnel,the Haunted,Brotherhood of Zion,2k active personnel,,Kornian,http://blocgame.com/news.php?page=2
