aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
38k active personnel,Kikkomen,Brotherhood of Zion,2k active personnel,,bulipliisia,http://blocgame.com/news.php?page=1
40k active personnel,Yugoslothia,Brotherhood of Nod,13k active personnel,,MembumiHangus,http://blocgame.com/news.php?page=1
68k active personnel,OurTown,The Order,1k active personnel,,Spratly,http://blocgame.com/news.php?page=1
40k active personnel,Spartang,Pirates of Carribean,13k active personnel,,Wooumo,http://blocgame.com/news.php?page=1
40k active personnel,Dank Stank,The Order,33k active personnel,,Democrastan,http://blocgame.com/news.php?page=1
27k active personnel,Brutish Empire,Comintern,4k active personnel,,balemu1987,http://blocgame.com/news.php?page=1
37k active personnel,Khuzestan,The Federal Colonies,5k active personnel,Brotherhood of Nod,Mafros,http://blocgame.com/news.php?page=1
69k active personnel,Jemut,PIRATES,27k active personnel,Farmington Brigade,SOPF,http://blocgame.com/news.php?page=1
97k active personnel,Caballos,The United Nations,10k active personnel,,BOOP,http://blocgame.com/news.php?page=1
44k active personnel,Awesomeria,Brotherhood of Zion,11k active personnel,Kampung Baru,Rengit,http://blocgame.com/news.php?page=1
39k active personnel,Olut,Al-Qassam Brigades,2k active personnel,,Lothl�rien001,http://blocgame.com/news.php?page=1
10k active personnel,BOOP,,30k active personnel,Interpol,Cuttlefish,http://blocgame.com/news.php?page=1
38k active personnel,Nova Ikaki,Brotherhood of Nod,1k active personnel,,Bellatrix,http://blocgame.com/news.php?page=1
51k active personnel,XDXDXD,Brotherhood of Zion,31k active personnel,SPQR,Romanovia,http://blocgame.com/news.php?page=1
51k active personnel,Malaysia.,PIRATES,5k active personnel,The Federal Colonies,Batu putih,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
