aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
39k active personnel,Lolesco,The Order,2k active personnel,,Farsland,http://blocgame.com/news.php?page=1
35k active personnel,bakhang,The Order,4k active personnel,Lithuanian Coalition,Vilnus,http://blocgame.com/news.php?page=1
39k active personnel,Ishtar,Brotherhood of Nod,7k active personnel,,Arthalia,http://blocgame.com/news.php?page=1
25k active personnel,Giant Mechs,The High Council,3k active personnel,Farmington Brigade,Willacoochiepop,http://blocgame.com/news.php?page=1
34k active personnel,SOPF,Farmington Brigade,7k active personnel,,swedenno,http://blocgame.com/news.php?page=1
32k active personnel,Tanus,Brotherhood of Zion,9k active personnel,,TrumpCity,http://blocgame.com/news.php?page=1
63k active personnel,Losong,PIRATES,59k active personnel,The Order,Eisen,http://blocgame.com/news.php?page=1
35k active personnel,Ashoqa,Brotherhood of Nod,21k active personnel,,Nannosistan,http://blocgame.com/news.php?page=1
45k active personnel,FlySoGood,Brotherhood of Zion,29k active personnel,Al-Qassam Brigades,Conrad,http://blocgame.com/news.php?page=1
32k active personnel,Aasyria,The Order,12k active personnel,Brotherhood of Zion,Lomar,http://blocgame.com/news.php?page=1
6k active personnel,Dengue,The Khilafah,46k active personnel,The Order,Ghost,http://blocgame.com/news.php?page=1
44k active personnel,shair,Al-Qassam Brigades,56k active personnel,The Order,Samsayum,http://blocgame.com/news.php?page=1
59k active personnel,Eisen,The Order,40k active personnel,PIRATES,Gulam,http://blocgame.com/news.php?page=1
31k active personnel,Buzir,Che Guevara League,12k active personnel,,Pata,http://blocgame.com/news.php?page=1
31k active personnel,Shinjukus,,10k active personnel,,Columbiner1,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
20k active personnel,ThePonyslayers,Brotherhood of Zion,10k active personnel,,Sunwukong,http://blocgame.com/news.php?page=2
