aggressor_mil,aggressor,alliance,defender_mil,alliance2,defender,pageUrl
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=1
18k active personnel,Psychotropia,Brotherhood of Zion,23k active personnel,,ZESI,http://blocgame.com/news.php?page=1
122k active personnel,Acirassi,The Order,20k active personnel,Brotherhood of Nod,Plob,http://blocgame.com/news.php?page=1
79k active personnel,Conferan,The High Council,1k active personnel,,fotamorgana,http://blocgame.com/news.php?page=1
51k active personnel,gong badang,PIRATES,10k active personnel,,Conrad,http://blocgame.com/news.php?page=1
22k active personnel,Blackpearl,,12k active personnel,,KKinabalu,http://blocgame.com/news.php?page=1
55k active personnel,The NLR,Divine League,13k active personnel,,FuchukFakhu,http://blocgame.com/news.php?page=1
56k active personnel,Utea,The Order,31k active personnel,Followers of Guadian,Guadianstan,http://blocgame.com/news.php?page=1
42k active personnel,HARDGAY♂,The Order,2k active personnel,,Sea13,http://blocgame.com/news.php?page=1
58k active personnel,Morjei,Brotherhood of Zion,2k active personnel,,Yar,http://blocgame.com/news.php?page=1
10k active personnel,Conrad,,1k active personnel,,Mont Blanc,http://blocgame.com/news.php?page=1
18k active personnel,osfrog,,18k active personnel,,basetrade,http://blocgame.com/news.php?page=1
20k active personnel,Plob,Brotherhood of Nod,9k active personnel,The Order,ADAMLAND,http://blocgame.com/news.php?page=1
18k active personnel,icenation,,18k active personnel,,theonehundred,http://blocgame.com/news.php?page=1
18k active personnel,theonehundred,,18k active personnel,,sixpool,http://blocgame.com/news.php?page=1
36k active personnel,Bamboon,,17k active personnel,,GWNP,http://blocgame.com/news.php?page=1
Aggressor's Military,Aggressor,Aggressor's Alliance,Defender's Military,Defender's Alliance,Defender,http://blocgame.com/news.php?page=2
18k active personnel,sixpool,,20k active personnel,,deathtotyrants,http://blocgame.com/news.php?page=2
20k active personnel,deathtotyrants,,18k active personnel,,beyondthesummit,http://blocgame.com/news.php?page=2
31k active personnel,Nerdia,Brotherhood of Nod,5k active personnel,,TrumpCity,http://blocgame.com/news.php?page=2
25k active personnel,landoffensive,,4k active personnel,,RIPERINO,http://blocgame.com/news.php?page=2
37k active personnel,Zanyslavia,The Khilafah,14k active personnel,,rajallian,http://blocgame.com/news.php?page=2
35k active personnel,Free Vietnam,SPQR,12k active personnel,The High Council,Treehouse,http://blocgame.com/news.php?page=2
25k active personnel,Haaga,The Federal Colonies,9k active personnel,,Cook,http://blocgame.com/news.php?page=2
58k active personnel,blanco,The Order,7k active personnel,,Yustaviaa,http://blocgame.com/news.php?page=2
58k active personnel,M�rg,The United Nations,6k active personnel,,RumBumistan,http://blocgame.com/news.php?page=2
104k active personnel,Caballos,The United Nations,7k active personnel,,Mobique,http://blocgame.com/news.php?page=2
38k active personnel,FlySoGood,Brotherhood of Zion,2k active personnel,The Order,Dickbutt/pol/,http://blocgame.com/news.php?page=2
